19000,2013,35752,Framingham, MA,1G6AH5RX5D0171586,Cadillac,ATS2.0L
19459,2014,42563,Torrington, CT,1G6AG5RX9E0177461,Cadillac,ATS2.0L
20788,2014,34841,Knoxville, TN,1G6AA5RA8E0146294,Cadillac,ATS2.5L
20299,2014,38710,San Antonio, TX,1G6AA5RA6E0135360,Cadillac,ATS2.5L
19500,2014,48543,Fort Worth, TX,1G6AB5RA8E0100199,Cadillac,ATS2.5L
19993,2014,32829,Bedford, OH,1G6AJ5S36E0140537,Cadillac,ATS3.6L
20195,2014,30439,Hialeah, FL,1G6AE5SX8E0174941,Cadillac,ATS2.0L
20275,2014,47977,North Salt Lake, UT,1G6AG5RX2E0106585,Cadillac,ATS2.0L
17990,2014,60392,Louisville, KY,1G6AH5RX1E0117770,Cadillac,ATS2.0L
20947,2014,31249,Pueblo, CO,1G6AG5RX5E0131724,Cadillac,ATS2.0L
22756,2014,13688,Winston Salem, NC,1G6AB5SX7E0106719,Cadillac,ATS2.0L
20295,2014,41108,Tallahassee, FL,1G6AB5SX6E0159735,Cadillac,ATS2.0L
18887,2014,64629,Colorado Springs, CO,1G6AH5RX9E0114597,Cadillac,ATS2.0L
4000,2005,87294,Oakhurst, NJ,1GYEE637750136808,Cadillac,SRX4dr
21000,2014,29066,Smyrna, GA,1G6AB5RX2E0135678,Cadillac,ATS2.0L
22488,2014,13010,Irving, TX,1G6AG5RX9E0181879,Cadillac,ATS2.0L
22500,2014,7945,Arlington, TX,1G6AB5RX3E0196134,Cadillac,ATS2.0L
18500,2013,42930,Norwood, MA,1G6AH5RX7D0175770,Cadillac,ATS2.0L
20750,2014,34290,Milford, CT,1G6AG5RX9E0141740,Cadillac,ATS2.0L
22950,2014,27463,Austin, TX,1G6AB5RX2E0166445,Cadillac,ATS2.0L
23535,2014,18334,Oklahoma City, OK,1G6AB5RX5E0188214,Cadillac,ATS2.0L
19991,2014,39219,GILBERT, AZ,1G6AA5RX5E0117310,Cadillac,ATS2.0L
20993,2014,34570,Beverly Hills, CA,1G6AB5RA7E0105667,Cadillac,ATS2.5L
21500,2014,28296,Manor, TX,1G6AB5RX7E0180194,Cadillac,ATS2.0L
19995,2014,44049,Union City, GA,1G6AD5S33E0158209,Cadillac,ATS3.6L
17499,2013,55382,Sacramento, CA,1G6AB5RX3D0144632,Cadillac,ATS2.0L
5998,2008,90947,Hollywood, FL,1G6DW67V480205081,Cadillac,STS4dr
21850,2014,19055,Concord, NC,1G6AB5RXXE0172669,Cadillac,ATS2.0L
18412,2013,51653,North Richland Hills, TX,1G6AH5R38D0122220,Cadillac,ATS3.6L
19550,2014,49260,Cartersville, GA,1G6AA5RX7E0150938,Cadillac,ATS2.0L
9800,2008,31001,Matteson, IL,1G6KD57Y68U189296,Cadillac,DTS4dr
17412,2014,75220,Sumner, WA,1G6AB5RA2E0151066,Cadillac,ATS2.5L
18490,2014,75336,Kennewick, WA,1G6AB5RX7E0102014,Cadillac,ATS2.0L
21000,2014,22244,Olive Branch, MS,1G6AB5SXXE0173931,Cadillac,ATS2.0L
22000,2014,19806,Austin, TX,1G6AA5RA8E0163922,Cadillac,ATS2.5L
19450,2014,41011,Temple Hills, MD,1G6AB5RX8E0183430,Cadillac,ATS2.0L
19780,2014,33241,Philadelphia, PA,1G6AA5RA8E0162169,Cadillac,ATS2.5L
14553,2013,101348,Tampa, FL,1G6AC5SX3D0134254,Cadillac,ATS2.0L
5999,2006,74443,Berlin, NJ,1G6DW677560218484,Cadillac,STS4dr
19299,2013,34593,Bedford, OH,1G6AL5SX1D0162943,Cadillac,ATS2.0L
21895,2014,29296,Novi, MI,1G6AH5RX0E0166409,Cadillac,ATS2.0L
21800,2014,30463,Hazelwood, MO,1G6AE5S34E0108500,Cadillac,ATS3.6L
20975,2013,14876,Lexington, KY,1G6AB5RA5D0131425,Cadillac,ATS2.5L
20911,2014,24310,Arlington, TX,1G6AG5RX0E0133753,Cadillac,ATS2.0L
13995,2014,107630,Falls Church, VA,1G6AA5RX9E0101689,Cadillac,ATS2.0L
20789,2014,31382,Oakhurst, NJ,1G6AA5RX0E0107428,Cadillac,ATS2.0L
22985,2014,9212,Cathedral City, CA,1G6AB5RA3E0169656,Cadillac,ATS2.5L
20463,2014,39712,Anderson, IN,1G6AH5RX1E0144693,Cadillac,ATS2.0L
16695,2014,75526,Greensboro, NC,1G6AA5RX1E0109169,Cadillac,ATS2.0L
18740,2013,55681,Columbia, MO,1G6AH5R31D0115853,Cadillac,ATS3.6L
6976,2005,70563,Muscle Shoals, AL,1GYEE637750174474,Cadillac,SRX4dr
5995,2006,75662,Burbank, IL,1G6DW677960106402,Cadillac,STS4dr
22794,2014,23175,Temecula, CA,1G6AA5RA1E0173420,Cadillac,ATS2.5L
15990,2013,75704,Daytona, FL,1G6AB5RA2D0114100,Cadillac,ATS2.5L
18495,2013,45561,Parker, CO,1G6AG5RX5D0167346,Cadillac,ATS2.0L
20999,2014,36082,Knoxville, TN,1G6AA5RX2E0111657,Cadillac,ATS2.0L
