@2 - 3 Năm@['Bán lẻ / Bán sỉ', 'Bán hàng / Kinh doanh', 'Tư vấn']@19/12/2021@Đồng Nai@Cao đẳng@@Không giới hạn tuổi@Nhân viên chính thức@CÔNG TY CỔ PHẦN VUA NỆM@Cửa Hàng Trưởng Biên Hòa
@5 - 10 Năm@['Bán lẻ / Bán sỉ', 'Bán hàng / Kinh doanh']@19/12/2021@Hồ Chí Minh@Đại học@Nam@30 - 40@Nhân viên chính thức@Công Ty TNHH Anh Tin@Trưởng Phòng Kinh Doanh
@3 - 10 Năm@['Xây dựng', 'Bất động sản']@19/12/2021@Hà Nội@Đại học@@30 - 45@Nhân viên chính thức@ONEW@Chuyên viên phân tích đầu tư - Ban Đầu tư
@2 - 0 Năm@['Bán hàng / Kinh doanh', 'Cơ khí / Ô tô / Tự động hóa', 'Điện / Điện tử / Điện lạnh']@19/12/2021@Hồ Chí Minh, Hà Nội@Đại học@@Không giới hạn tuổi@Nhân viên chính thức@Tyre Pacific Co., Ltd.@Automotive Battery Sales Representative
Nhân viên@@['Nhà hàng / Khách sạn']@19/12/2021@Bình Dương@@@18 - 50@Thời vụ/ Nghề tự do@Công ty TNHH Becamex Tokyu@Nhân viên buồng phòng
@5 - 10 Năm@['Tiếp thị / Marketing', 'Bán hàng / Kinh doanh']@19/12/2021@Bắc Ninh@Cao đẳng@Nam@28 - 45@Nhân viên chính thức@Bình Nam Group - CÔNG TY TNHH NHÔM BÌNH NAM@GIÁM ĐỐC KINH DOANH
@1 - 2 Năm@['Kế toán / Kiểm toán']@19/12/2021@Hồ Chí Minh@Cao đẳng@Nữ@23 - 30@Nhân viên chính thức@Chi nhánh công ty đầu tư và xây dựng tổng hợp miền trung@Kế toán
Nhân viên@@['CNTT - Phần mềm', 'CNTT - Phần cứng / Mạng']@19/12/2021@Hồ Chí Minh@@@@Nhân viên chính thức@DAEYOUNG ELECTRONICS VINA@IT STAFF
Nhân viên@@['Ngân hàng', 'Luật / Pháp lý', 'Quản lý chất lượng (QA/QC)']@19/12/2021@Hà Nội@@@@Nhân viên chính thức@Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK@Chuyên Viên Chính Điều Tra Và Phòng Chống Gian Lận Mảng Phân Tích - Hà Nội
@3 - 10 Năm@['CNTT - Phần mềm']@19/12/2021@Hồ Chí Minh@Đại học@@25 - 40@Nhân viên chính thức@DEK Technologies Vietnam@Media Streaming Engineer (Python, C/C++)
@1 - 0 Năm@['Bán hàng / Kinh doanh', 'Cơ khí / Ô tô / Tự động hóa']@19/12/2021@Hà Nội@Đại học@@Không giới hạn tuổi@Nhân viên chính thức@PERSOLKELLY Vietnam@Sales Engineer (Bearing)
Quản lý@@['Bảo hiểm', 'Ngân hàng', 'Tài chính / Đầu tư']@19/12/2021@Hà Nội@@@@Nhân viên chính thức@LOTTE FINANCE VIETNAM@Trưởng Phòng Chính sách và Phân tích Rủi ro
@1 - 5 Năm@['Quản lý chất lượng (QA/QC)']@19/12/2021@Hồ Chí Minh@Đại học@@Không giới hạn tuổi@Nhân viên chính thức@FPT Telecom - Chi nhánh Công ty Cổ Phần Viễn Thông FPT@Chuyên Viên Iso Dự Án Phần Mềm
Nhân viên@@['Hành chính / Thư ký', 'Kế toán / Kiểm toán', 'Ngân hàng']@19/12/2021@Hà Nội@@@@Nhân viên chính thức@Công ty Tài chính TNHH MB SHINSEI (MCREDIT)@Chuyên viên giải ngân
@2 - 3 Năm@['Tiếp thị / Marketing', 'Truyền hình / Báo chí / Biên tập', 'Quảng cáo / Đối ngoại / Truyền Thông']@19/12/2021@Hồ Chí Minh@@@28 - 35@Nhân viên chính thức@CÔNG TY TNHH HAVAS VIETNAM@Account Executive
